Designator;Mid X;Mid Y;Layer;Rotation
C1;139.319000mm;-111.379000mm;Bottom;90
C2;127.254000mm;-111.887000mm;Bottom;90
C3;139.319000mm;-109.474000mm;Bottom;90
C4;127.254000mm;-109.728000mm;Bottom;90
C5;135.255000mm;-104.394000mm;Bottom;0
C6;136.652000mm;-116.713000mm;Bottom;0
D1;138.176000mm;-104.521000mm;Bottom;180
J4;135.470000mm;-119.380000mm;Bottom;270
L1;127.254000mm;-114.427000mm;Bottom;270
Q1;133.985000mm;-124.841000mm;Bottom;0
Q2;138.049000mm;-124.841000mm;Bottom;0
R9;131.318000mm;-116.840000mm;Bottom;90
R10;130.175000mm;-116.840000mm;Bottom;90
R11;129.032000mm;-116.840000mm;Bottom;90
R12;129.032000mm;-118.872000mm;Bottom;90
R13;131.318000mm;-118.872000mm;Bottom;90
R14;133.223000mm;-104.394000mm;Bottom;180
U1;133.350000mm;-110.363000mm;Bottom;180
R1;135.636000mm;-122.827142mm;Top;180
R2;135.636000mm;-125.730000mm;Top;180
R3;135.636000mm;-108.312857mm;Top;0
R4;135.636000mm;-117.021428mm;Top;0
R5;135.636000mm;-114.118571mm;Top;0
R6;135.636000mm;-105.410000mm;Top;180
R7;135.636000mm;-119.924285mm;Top;0
R8;135.636000mm;-111.215714mm;Top;0